"year","ethnicity","gender","demographic","wages"
1991,"black","men","less_than_hs",15.42
1992,"black","men","less_than_hs",15.71
1993,"black","men","less_than_hs",15.57
1994,"black","men","less_than_hs",15.83
1995,"black","men","less_than_hs",15.14
1996,"black","men","less_than_hs",15.17
1997,"black","men","less_than_hs",14.71
1998,"black","men","less_than_hs",14.74
1999,"black","men","less_than_hs",15.28
2000,"black","men","less_than_hs",15.26
2001,"black","men","less_than_hs",15.03
2002,"black","men","less_than_hs",16.04
2003,"black","men","less_than_hs",16.55
2004,"black","men","less_than_hs",15.58
2005,"black","men","less_than_hs",14.9
2006,"black","men","less_than_hs",14.85
2007,"black","men","less_than_hs",15.41
2008,"black","men","less_than_hs",14.69
2009,"black","men","less_than_hs",15
2010,"black","men","less_than_hs",15.19
2011,"black","men","less_than_hs",14.66
2012,"black","men","less_than_hs",14.12
2013,"black","men","less_than_hs",14.39
2014,"black","men","less_than_hs",14.28
2015,"black","men","less_than_hs",14.55
2016,"black","men","less_than_hs",14.64
2017,"black","men","less_than_hs",15
2018,"black","men","less_than_hs",14.27
2019,"black","men","less_than_hs",15.07
2020,"black","men","less_than_hs",15.52
2021,"black","men","less_than_hs",15.38
2022,"black","men","less_than_hs",16.38
1973,"black","men","some_college",23.55
1974,"black","men","some_college",22.69
1975,"black","men","some_college",23.54
1976,"black","men","some_college",24.57
1977,"black","men","some_college",22.76
1978,"black","men","some_college",22.73
1979,"black","men","some_college",24.04
1980,"black","men","some_college",23.4
1981,"black","men","some_college",23.15
1982,"black","men","some_college",22.23
1983,"black","men","some_college",22.95
1984,"black","men","some_college",22.99
1985,"black","men","some_college",22.03
1986,"black","men","some_college",22.95
1987,"black","men","some_college",22.91
1988,"black","men","some_college",23.81
1989,"black","men","some_college",21.88
1990,"black","men","some_college",22.17
1991,"black","men","some_college",22.27
1992,"black","men","some_college",21.13
1993,"black","men","some_college",21.06
1994,"black","men","some_college",21.44
1995,"black","men","some_college",21.05
1996,"black","men","some_college",20.71
1997,"black","men","some_college",21.36
1998,"black","men","some_college",22.33
1999,"black","men","some_college",22.34
2000,"black","men","some_college",22.9
2001,"black","men","some_college",22.8
2002,"black","men","some_college",22.74
2003,"black","men","some_college",23.21
2004,"black","men","some_college",22.96
2005,"black","men","some_college",22.05
2006,"black","men","some_college",22.65
2007,"black","men","some_college",22.59
2008,"black","men","some_college",22.05
2009,"black","men","some_college",22.19
2010,"black","men","some_college",22.62
2011,"black","men","some_college",21.31
2012,"black","men","some_college",21.24
2013,"black","men","some_college",20.78
2014,"black","men","some_college",20.77
2015,"black","men","some_college",21.08
2016,"black","men","some_college",22.15
2017,"black","men","some_college",21.09
2018,"black","men","some_college",21.82
2019,"black","men","some_college",22.02
2020,"black","men","some_college",23.57
2021,"black","men","some_college",22.63
2022,"black","men","some_college",22.58
1973,"black","women","advanced_degree",41.81
1974,"black","women","advanced_degree",33.86
1975,"black","women","advanced_degree",33.03
1976,"black","women","advanced_degree",34.92
1977,"black","women","advanced_degree",37.1
1978,"black","women","advanced_degree",34.08
1979,"black","women","advanced_degree",29.34
1980,"black","women","advanced_degree",31.58
1981,"black","women","advanced_degree",31.05
1982,"black","women","advanced_degree",30.65
1983,"black","women","advanced_degree",30.64
1984,"black","women","advanced_degree",31.81
1985,"black","women","advanced_degree",31.28
1986,"black","women","advanced_degree",33.04
1987,"black","women","advanced_degree",33.45
1988,"black","women","advanced_degree",35.8
1989,"black","women","advanced_degree",34.39
1990,"black","women","advanced_degree",32.97
1991,"black","women","advanced_degree",32.58
1992,"black","women","advanced_degree",34.1
1993,"black","women","advanced_degree",35.67
1994,"black","women","advanced_degree",37.24
1995,"black","women","advanced_degree",37.9
1996,"black","women","advanced_degree",35.73
1997,"black","women","advanced_degree",33.9
1998,"black","women","advanced_degree",36.92
1999,"black","women","advanced_degree",37.04
2000,"black","women","advanced_degree",36.87
2001,"black","women","advanced_degree",37.22
2002,"black","women","advanced_degree",38.8
2003,"black","women","advanced_degree",37.78
2004,"black","women","advanced_degree",38.36
2005,"black","women","advanced_degree",38.33
2006,"black","women","advanced_degree",38.06
2007,"black","women","advanced_degree",38.75
2008,"black","women","advanced_degree",38.24
2009,"black","women","advanced_degree",39.37
2010,"black","women","advanced_degree",37.74
2011,"black","women","advanced_degree",38.01
2012,"black","women","advanced_degree",37.46
2013,"black","women","advanced_degree",38.4
2014,"black","women","advanced_degree",37.88
2015,"black","women","advanced_degree",37.37
2016,"black","women","advanced_degree",38.55
2017,"black","women","advanced_degree",38.26
2018,"black","women","advanced_degree",39.64
2019,"black","women","advanced_degree",40.42
2020,"black","women","advanced_degree",42.44
2021,"black","women","advanced_degree",40.07
2022,"black","women","advanced_degree",39.41
1973,"black","women","bachelors_degree",28.35
1974,"black","women","bachelors_degree",27.8
1975,"black","women","bachelors_degree",27.93
1976,"black","women","bachelors_degree",26.1
1977,"black","women","bachelors_degree",25.83
1978,"black","women","bachelors_degree",25.47
1979,"black","women","bachelors_degree",23.84
1980,"black","women","bachelors_degree",23.99
1981,"black","women","bachelors_degree",23.82
1982,"black","women","bachelors_degree",23.54
1983,"black","women","bachelors_degree",23.73
1984,"black","women","bachelors_degree",23.66
1985,"black","women","bachelors_degree",25.15
1986,"black","women","bachelors_degree",24.6
1987,"black","women","bachelors_degree",25.21
1988,"black","women","bachelors_degree",26.04
1989,"black","women","bachelors_degree",25.97
1990,"black","women","bachelors_degree",25.51
1991,"black","women","bachelors_degree",26.81
1992,"black","women","bachelors_degree",27.01
1993,"black","women","bachelors_degree",27.45
1994,"black","women","bachelors_degree",27.01
1995,"black","women","bachelors_degree",27.99
1996,"black","women","bachelors_degree",26.03
1997,"black","women","bachelors_degree",26.6
1998,"black","women","bachelors_degree",28.68
1999,"black","women","bachelors_degree",29.54
2000,"black","women","bachelors_degree",30.18
2001,"black","women","bachelors_degree",30.11
2002,"black","women","bachelors_degree",30.11
2003,"black","women","bachelors_degree",31.02
2004,"black","women","bachelors_degree",30.28
2005,"black","women","bachelors_degree",29.25
2006,"black","women","bachelors_degree",30.53
2007,"black","women","bachelors_degree",29.77
2008,"black","women","bachelors_degree",30.5
2009,"black","women","bachelors_degree",29.59
2010,"black","women","bachelors_degree",30.53
2011,"black","women","bachelors_degree",30.49
2012,"black","women","bachelors_degree",29.43
2013,"black","women","bachelors_degree",29.57
2014,"black","women","bachelors_degree",30.2
2015,"black","women","bachelors_degree",30.42
2016,"black","women","bachelors_degree",29.56
2017,"black","women","bachelors_degree",29.19
2018,"black","women","bachelors_degree",30.85
2019,"black","women","bachelors_degree",30.31
2020,"black","women","bachelors_degree",31.38
2021,"black","women","bachelors_degree",29.35
2022,"black","women","bachelors_degree",29.94
1973,"black","women","high_school",15.79
1974,"black","women","high_school",15.55
1975,"black","women","high_school",15.88
1976,"black","women","high_school",16.4
1977,"black","women","high_school",16.3
1978,"black","women","high_school",17
1979,"black","women","high_school",16.3
1980,"black","women","high_school",16.09
1981,"black","women","high_school",15.86
1982,"black","women","high_school",15.95
1983,"black","women","high_school",15.94
1984,"black","women","high_school",15.65
1985,"black","women","high_school",15.87
1986,"black","women","high_school",16.09
1987,"black","women","high_school",16.03
1988,"black","women","high_school",16.17
1989,"black","women","high_school",15.69
1990,"black","women","high_school",15.63
1991,"black","women","high_school",15.84
1992,"black","women","high_school",15.73
1993,"black","women","high_school",15.84
1994,"black","women","high_school",15.79
1995,"black","women","high_school",15.53
1996,"black","women","high_school",15.7
1997,"black","women","high_school",15.83
1998,"black","women","high_school",16.25
1999,"black","women","high_school",16.42
2000,"black","women","high_school",16.81
2001,"black","women","high_school",16.97
2002,"black","women","high_school",17.41
2003,"black","women","high_school",17.59
2004,"black","women","high_school",17.51
2005,"black","women","high_school",17.07
2006,"black","women","high_school",17.02
2007,"black","women","high_school",17.22
2008,"black","women","high_school",16.69
2009,"black","women","high_school",17.26
2010,"black","women","high_school",17.33
2011,"black","women","high_school",16.56
2012,"black","women","high_school",16.52
2013,"black","women","high_school",16.6
2014,"black","women","high_school",16.09
2015,"black","women","high_school",16.21
2016,"black","women","high_school",16.71
2017,"black","women","high_school",16.33
2018,"black","women","high_school",16.81
2019,"black","women","high_school",17.18
2020,"black","women","high_school",17.93
2021,"black","women","high_school",18.3
2022,"black","women","high_school",17.83
1973,"black","women","less_than_hs",12.02
1974,"black","women","less_than_hs",12.31
1975,"black","women","less_than_hs",12.48
1976,"black","women","less_than_hs",12.75
1977,"black","women","less_than_hs",12.8
1978,"black","women","less_than_hs",12.67
1979,"black","women","less_than_hs",13.33
1980,"black","women","less_than_hs",12.98
1981,"black","women","less_than_hs",12.88
1982,"black","women","less_than_hs",12.81
1983,"black","women","less_than_hs",12.92
1984,"black","women","less_than_hs",12.39
1985,"black","women","less_than_hs",12.45
1986,"black","women","less_than_hs",12.78
1987,"black","women","less_than_hs",12.6
1988,"black","women","less_than_hs",12.32
1989,"black","women","less_than_hs",12.14
1990,"black","women","less_than_hs",12.2
1991,"black","women","less_than_hs",12.61
1992,"black","women","less_than_hs",13.21
1993,"black","women","less_than_hs",12.73
1994,"black","women","less_than_hs",12.45
1995,"black","women","less_than_hs",12.07
1996,"black","women","less_than_hs",11.77
1997,"black","women","less_than_hs",12.25
1998,"black","women","less_than_hs",12.57
1999,"black","women","less_than_hs",12.72
2000,"black","women","less_than_hs",12.95
2001,"black","women","less_than_hs",13.04
2002,"black","women","less_than_hs",12.84
2003,"black","women","less_than_hs",13.13
2004,"black","women","less_than_hs",12.81
2005,"black","women","less_than_hs",12.9
2006,"black","women","less_than_hs",13.25
2007,"black","women","less_than_hs",13.08
2008,"black","women","less_than_hs",12.78
2009,"black","women","less_than_hs",13.23
2010,"black","women","less_than_hs",13.63
2011,"black","women","less_than_hs",13.4
2012,"black","women","less_than_hs",12.2
2013,"black","women","less_than_hs",12.41
2014,"black","women","less_than_hs",12.47
2015,"black","women","less_than_hs",12.79
2016,"black","women","less_than_hs",12.42
2017,"black","women","less_than_hs",12.99
2018,"black","women","less_than_hs",12.48
2019,"black","women","less_than_hs",13.3
2020,"black","women","less_than_hs",13.66
2021,"black","women","less_than_hs",13.73
2022,"black","women","less_than_hs",13.89
1973,"black","women","some_college",18.11
1974,"black","women","some_college",18.19
1975,"black","women","some_college",18.11
1976,"black","women","some_college",19.11
1977,"black","women","some_college",18.87
1978,"black","women","some_college",18.24
1979,"black","women","some_college",18.54
1980,"black","women","some_college",18.28
1981,"black","women","some_college",18.14
1982,"black","women","some_college",17.88
1983,"black","women","some_college",17.71
1984,"black","women","some_college",18.04
1985,"black","women","some_college",18.3
1986,"black","women","some_college",18.48
1987,"black","women","some_college",18.76
1988,"black","women","some_college",18.67
1989,"black","women","some_college",19
1990,"black","women","some_college",18.77
1991,"black","women","some_college",18.91
1992,"black","women","some_college",18.98
1993,"black","women","some_college",18.7
1994,"black","women","some_college",18.9
1995,"black","women","some_college",18.59
1996,"black","women","some_college",17.92
1997,"black","women","some_college",18.78
1998,"black","women","some_college",19.29
1999,"black","women","some_college",19.21
2000,"black","women","some_college",19.59
2001,"black","women","some_college",19.7
2002,"black","women","some_college",20.15
2003,"black","women","some_college",20.45
2004,"black","women","some_college",20.01
2005,"black","women","some_college",19.69
2006,"black","women","some_college",19.94
2007,"black","women","some_college",20.07
2008,"black","women","some_college",19.55
2009,"black","women","some_college",19.88
2010,"black","women","some_college",19.61
2011,"black","women","some_college",18.8
2012,"black","women","some_college",18.66
2013,"black","women","some_college",18.32
2014,"black","women","some_college",18.39
2015,"black","women","some_college",18.5
2016,"black","women","some_college",18.88
2017,"black","women","some_college",18.76
2018,"black","women","some_college",18.57
2019,"black","women","some_college",19.17
2020,"black","women","some_college",20.31
2021,"black","women","some_college",20.18
2022,"black","women","some_college",20.36
1973,"black",NA,"advanced_degree",42.01
1974,"black",NA,"advanced_degree",36.81
1975,"black",NA,"advanced_degree",36.42
1976,"black",NA,"advanced_degree",37.05
1977,"black",NA,"advanced_degree",36.03
1978,"black",NA,"advanced_degree",36.63
1979,"black",NA,"advanced_degree",32.78
1980,"black",NA,"advanced_degree",35.1
1981,"black",NA,"advanced_degree",32.92
1982,"black",NA,"advanced_degree",32.4
1983,"black",NA,"advanced_degree",33.74
1984,"black",NA,"advanced_degree",33.82
1985,"black",NA,"advanced_degree",34.22
1986,"black",NA,"advanced_degree",35.42
1987,"black",NA,"advanced_degree",35.92
1988,"black",NA,"advanced_degree",37.89
1989,"black",NA,"advanced_degree",34.64
1990,"black",NA,"advanced_degree",34.39
1991,"black",NA,"advanced_degree",34.05
1992,"black",NA,"advanced_degree",35.01
1993,"black",NA,"advanced_degree",35.9
1994,"black",NA,"advanced_degree",37.79
1995,"black",NA,"advanced_degree",38.5
1996,"black",NA,"advanced_degree",36.19
1997,"black",NA,"advanced_degree",36.01
1998,"black",NA,"advanced_degree",38.59
1999,"black",NA,"advanced_degree",39.41
2000,"black",NA,"advanced_degree",40.75
2001,"black",NA,"advanced_degree",39.68
2002,"black",NA,"advanced_degree",40.62
2003,"black",NA,"advanced_degree",38.38
2004,"black",NA,"advanced_degree",40.01
2005,"black",NA,"advanced_degree",40.2
2006,"black",NA,"advanced_degree",40.49
2007,"black",NA,"advanced_degree",40.06
2008,"black",NA,"advanced_degree",40.21
2009,"black",NA,"advanced_degree",41.35
2010,"black",NA,"advanced_degree",39.3
2011,"black",NA,"advanced_degree",40.1
2012,"black",NA,"advanced_degree",40.89
2013,"black",NA,"advanced_degree",41.6
2014,"black",NA,"advanced_degree",40.07
2015,"black",NA,"advanced_degree",41.13
2016,"black",NA,"advanced_degree",41.26
2017,"black",NA,"advanced_degree",40.68
2018,"black",NA,"advanced_degree",42.22
2019,"black",NA,"advanced_degree",42.73
2020,"black",NA,"advanced_degree",45.76
2021,"black",NA,"advanced_degree",43.37
2022,"black",NA,"advanced_degree",44.67
1973,"black",NA,"bachelors_degree",29.09
1974,"black",NA,"bachelors_degree",28.46
1975,"black",NA,"bachelors_degree",28.05
1976,"black",NA,"bachelors_degree",27.17
1977,"black",NA,"bachelors_degree",27.24
1978,"black",NA,"bachelors_degree",27.79
1979,"black",NA,"bachelors_degree",26.78
1980,"black",NA,"bachelors_degree",26.23
1981,"black",NA,"bachelors_degree",25.59
1982,"black",NA,"bachelors_degree",25.82
1983,"black",NA,"bachelors_degree",26.16
1984,"black",NA,"bachelors_degree",26.5
1985,"black",NA,"bachelors_degree",27.5
1986,"black",NA,"bachelors_degree",26.96
1987,"black",NA,"bachelors_degree",27.72
1988,"black",NA,"bachelors_degree",28.58
1989,"black",NA,"bachelors_degree",27.14
1990,"black",NA,"bachelors_degree",26.89
1991,"black",NA,"bachelors_degree",27.88
1992,"black",NA,"bachelors_degree",28.15
1993,"black",NA,"bachelors_degree",28.74
1994,"black",NA,"bachelors_degree",28.4
1995,"black",NA,"bachelors_degree",28.8
1996,"black",NA,"bachelors_degree",27.48
1997,"black",NA,"bachelors_degree",28.11
1998,"black",NA,"bachelors_degree",30.18
1999,"black",NA,"bachelors_degree",30.96
2000,"black",NA,"bachelors_degree",31
2001,"black",NA,"bachelors_degree",31.42
2002,"black",NA,"bachelors_degree",31.68
2003,"black",NA,"bachelors_degree",31.53
2004,"black",NA,"bachelors_degree",32.15
2005,"black",NA,"bachelors_degree",31.12
2006,"black",NA,"bachelors_degree",31.95
2007,"black",NA,"bachelors_degree",30.95
2008,"black",NA,"bachelors_degree",31.33
2009,"black",NA,"bachelors_degree",31.42
2010,"black",NA,"bachelors_degree",31.64
2011,"black",NA,"bachelors_degree",31.86
2012,"black",NA,"bachelors_degree",31.08
2013,"black",NA,"bachelors_degree",31.11
2014,"black",NA,"bachelors_degree",30.82
2015,"black",NA,"bachelors_degree",32.06
2016,"black",NA,"bachelors_degree",32.1
2017,"black",NA,"bachelors_degree",31.49
2018,"black",NA,"bachelors_degree",32
2019,"black",NA,"bachelors_degree",31.83
2020,"black",NA,"bachelors_degree",33.64
2021,"black",NA,"bachelors_degree",32.62
2022,"black",NA,"bachelors_degree",33.39
1973,"black",NA,"high_school",18.69
1974,"black",NA,"high_school",18.7
1975,"black",NA,"high_school",18.41
1976,"black",NA,"high_school",19.37
1977,"black",NA,"high_school",18.83
1978,"black",NA,"high_school",19.79
1979,"black",NA,"high_school",19.13
1980,"black",NA,"high_school",18.54
1981,"black",NA,"high_school",18.35
1982,"black",NA,"high_school",18.18
1983,"black",NA,"high_school",18.2
1984,"black",NA,"high_school",17.72
1985,"black",NA,"high_school",17.7
1986,"black",NA,"high_school",18.04
1987,"black",NA,"high_school",18.05
1988,"black",NA,"high_school",18.16
1989,"black",NA,"high_school",17.55
1990,"black",NA,"high_school",17.24
1991,"black",NA,"high_school",17.22
1992,"black",NA,"high_school",17.08
1993,"black",NA,"high_school",17.16
1994,"black",NA,"high_school",17.45
1995,"black",NA,"high_school",17.08
1996,"black",NA,"high_school",16.9
1997,"black",NA,"high_school",17.43
1998,"black",NA,"high_school",17.88
1999,"black",NA,"high_school",18.19
2000,"black",NA,"high_school",18.36
2001,"black",NA,"high_school",18.51
2002,"black",NA,"high_school",18.75
2003,"black",NA,"high_school",19.18
2004,"black",NA,"high_school",18.92
2005,"black",NA,"high_school",18.46
2006,"black",NA,"high_school",18.52
2007,"black",NA,"high_school",18.26
2008,"black",NA,"high_school",18.05
2009,"black",NA,"high_school",18.69
2010,"black",NA,"high_school",18.45
2011,"black",NA,"high_school",17.84
2012,"black",NA,"high_school",17.92
2013,"black",NA,"high_school",17.66
2014,"black",NA,"high_school",17.61
2015,"black",NA,"high_school",17.62
2016,"black",NA,"high_school",17.95
2017,"black",NA,"high_school",17.94
2018,"black",NA,"high_school",18.14
2019,"black",NA,"high_school",18.73
2020,"black",NA,"high_school",19.66
2021,"black",NA,"high_school",19.66
2022,"black",NA,"high_school",19.39
1973,"black",NA,"less_than_hs",15.77
1974,"black",NA,"less_than_hs",15.61
1975,"black",NA,"less_than_hs",15.35
1976,"black",NA,"less_than_hs",15.9
1977,"black",NA,"less_than_hs",15.73
1978,"black",NA,"less_than_hs",15.19
1979,"black",NA,"less_than_hs",16.4
1980,"black",NA,"less_than_hs",15.77
1981,"black",NA,"less_than_hs",15.81
1982,"black",NA,"less_than_hs",15.43
1983,"black",NA,"less_than_hs",15.39
1984,"black",NA,"less_than_hs",14.98
1985,"black",NA,"less_than_hs",14.83
1986,"black",NA,"less_than_hs",15.2
1987,"black",NA,"less_than_hs",14.92
1988,"black",NA,"less_than_hs",14.73
1989,"black",NA,"less_than_hs",14.38
1990,"black",NA,"less_than_hs",14.21
1991,"black",NA,"less_than_hs",14.14
1992,"black",NA,"less_than_hs",14.56
1993,"black",NA,"less_than_hs",14.28
1994,"black",NA,"less_than_hs",14.27
1995,"black",NA,"less_than_hs",13.66
1996,"black",NA,"less_than_hs",13.58
1997,"black",NA,"less_than_hs",13.53
1998,"black",NA,"less_than_hs",13.69
1999,"black",NA,"less_than_hs",13.92
2000,"black",NA,"less_than_hs",14.1
2001,"black",NA,"less_than_hs",14.03
2002,"black",NA,"less_than_hs",14.47
2003,"black",NA,"less_than_hs",14.77
2004,"black",NA,"less_than_hs",14.13
2005,"black",NA,"less_than_hs",13.9
2006,"black",NA,"less_than_hs",14.05
2007,"black",NA,"less_than_hs",14.23
2008,"black",NA,"less_than_hs",13.69
2009,"black",NA,"less_than_hs",14.07
2010,"black",NA,"less_than_hs",14.4
2011,"black",NA,"less_than_hs",14.04
2012,"black",NA,"less_than_hs",13.12
2013,"black",NA,"less_than_hs",13.4
2014,"black",NA,"less_than_hs",13.43
2015,"black",NA,"less_than_hs",13.64
2016,"black",NA,"less_than_hs",13.48
2017,"black",NA,"less_than_hs",13.93
2018,"black",NA,"less_than_hs",13.31
2019,"black",NA,"less_than_hs",14.19
2020,"black",NA,"less_than_hs",14.55
2021,"black",NA,"less_than_hs",14.55
2022,"black",NA,"less_than_hs",15.19
1973,"black",NA,"some_college",20.82
1974,"black",NA,"some_college",20.41
1975,"black",NA,"some_college",21.01
1976,"black",NA,"some_college",21.93
1977,"black",NA,"some_college",20.83
1978,"black",NA,"some_college",20.39
1979,"black",NA,"some_college",21.15
1980,"black",NA,"some_college",20.76
1981,"black",NA,"some_college",20.56
1982,"black",NA,"some_college",19.91
1983,"black",NA,"some_college",20.11
1984,"black",NA,"some_college",20.33
1985,"black",NA,"some_college",20.01
1986,"black",NA,"some_college",20.54
1987,"black",NA,"some_college",20.67
1988,"black",NA,"some_college",21.05
1989,"black",NA,"some_college",20.29
1990,"black",NA,"some_college",20.22
1991,"black",NA,"some_college",20.41
1992,"black",NA,"some_college",19.96
1993,"black",NA,"some_college",19.72
1994,"black",NA,"some_college",20.01
1995,"black",NA,"some_college",19.66
1996,"black",NA,"some_college",19.12
1997,"black",NA,"some_college",19.89
1998,"black",NA,"some_college",20.59
1999,"black",NA,"some_college",20.54
2000,"black",NA,"some_college",20.99
2001,"black",NA,"some_college",20.99
2002,"black",NA,"some_college",21.25
2003,"black",NA,"some_college",21.64
2004,"black",NA,"some_college",21.26
2005,"black",NA,"some_college",20.69
2006,"black",NA,"some_college",21.09
2007,"black",NA,"some_college",21.16
2008,"black",NA,"some_college",20.6
2009,"black",NA,"some_college",20.82
2010,"black",NA,"some_college",20.88
2011,"black",NA,"some_college",19.84
2012,"black",NA,"some_college",19.77
2013,"black",NA,"some_college",19.38
2014,"black",NA,"some_college",19.4
2015,"black",NA,"some_college",19.59
2016,"black",NA,"some_college",20.28
2017,"black",NA,"some_college",19.8
2018,"black",NA,"some_college",19.98
2019,"black",NA,"some_college",20.44
2020,"black",NA,"some_college",21.79
