"year","demographic","wages"
2019,"white_high_school",22.94
2019,"white_some_college",25.47
2019,"white_bachelors_degree",41.06
2019,"white_advanced_degree",51.81
2019,"black_less_than_hs",14.19
2019,"black_high_school",18.73
2019,"black_some_college",20.44
2019,"black_bachelors_degree",31.83
2019,"black_advanced_degree",42.73
2019,"hispanic_less_than_hs",16.71
2019,"hispanic_high_school",20.47
2019,"hispanic_some_college",22.01
2019,"hispanic_bachelors_degree",34.66
2019,"hispanic_advanced_degree",46.69
2019,"white_men_less_than_hs",17.66
2019,"white_men_high_school",25.58
2019,"white_men_some_college",28.9
2019,"white_men_bachelors_degree",47.76
2019,"white_men_advanced_degree",60.84
2019,"black_men_less_than_hs",15.07
2019,"black_men_high_school",20.22
2019,"black_men_some_college",22.02
2019,"black_men_bachelors_degree",33.73
2019,"black_men_advanced_degree",46.87
2019,"hispanic_men_less_than_hs",17.93
2019,"hispanic_men_high_school",22.33
2019,"hispanic_men_some_college",24.35
2019,"hispanic_men_bachelors_degree",39.56
2019,"hispanic_men_advanced_degree",52.24
2019,"white_women_less_than_hs",13.44
2019,"white_women_high_school",19.22
2019,"white_women_some_college",21.99
2019,"white_women_bachelors_degree",34.47
2019,"white_women_advanced_degree",43.83
2019,"black_women_less_than_hs",13.3
2019,"black_women_high_school",17.18
2019,"black_women_some_college",19.17
2019,"black_women_bachelors_degree",30.31
2019,"black_women_advanced_degree",40.42
2019,"hispanic_women_less_than_hs",14.5
2019,"hispanic_women_high_school",17.71
2019,"hispanic_women_some_college",19.69
2019,"hispanic_women_bachelors_degree",30.18
2019,"hispanic_women_advanced_degree",42.3
2018,"less_than_hs",15.94
2018,"high_school",21.5
2018,"some_college",23.7
2018,"bachelors_degree",38.87
2018,"advanced_degree",51.03
2018,"men_less_than_hs",17.7
2018,"men_high_school",23.72
2018,"men_some_college",26.61
2018,"men_bachelors_degree",44.97
2018,"men_advanced_degree",59.73
2018,"women_less_than_hs",13.36
2018,"women_high_school",18.49
2018,"women_some_college",20.91
2018,"women_bachelors_degree",33.03
2018,"women_advanced_degree",43.19
2018,"white_less_than_hs",16.05
2018,"white_high_school",23.02
2018,"white_some_college",25.15
2018,"white_bachelors_degree",40.49
2018,"white_advanced_degree",51.8
2018,"black_less_than_hs",13.31
2018,"black_high_school",18.14
2018,"black_some_college",19.98
2018,"black_bachelors_degree",32
2018,"black_advanced_degree",42.22
2018,"hispanic_less_than_hs",16.44
2018,"hispanic_high_school",20.13
2018,"hispanic_some_college",21.74
2018,"hispanic_bachelors_degree",33.19
2018,"hispanic_advanced_degree",44.83
2018,"white_men_less_than_hs",17.96
2018,"white_men_high_school",25.49
2018,"white_men_some_college",28.41
2018,"white_men_bachelors_degree",47.28
2018,"white_men_advanced_degree",61.27
2018,"black_men_less_than_hs",14.27
2018,"black_men_high_school",19.36
2018,"black_men_some_college",21.82
2018,"black_men_bachelors_degree",33.42
2018,"black_men_advanced_degree",46.42
2018,"hispanic_men_less_than_hs",18.05
2018,"hispanic_men_high_school",22.04
2018,"hispanic_men_some_college",24.2
2018,"hispanic_men_bachelors_degree",37.27
2018,"hispanic_men_advanced_degree",51.27
2018,"white_women_less_than_hs",13.45
2018,"white_women_high_school",19.52
2018,"white_women_some_college",21.9
2018,"white_women_bachelors_degree",33.78
2018,"white_women_advanced_degree",43.31
2018,"black_women_less_than_hs",12.48
2018,"black_women_high_school",16.81
2018,"black_women_some_college",18.57
2018,"black_women_bachelors_degree",30.85
2018,"black_women_advanced_degree",39.64
2018,"hispanic_women_less_than_hs",13.47
2018,"hispanic_women_high_school",17.28
2018,"hispanic_women_some_college",19.29
2018,"hispanic_women_bachelors_degree",29.47
2018,"hispanic_women_advanced_degree",39.35
2017,"less_than_hs",15.92
2017,"high_school",21.26
2017,"some_college",23.31
2017,"bachelors_degree",38.65
2017,"advanced_degree",49.4
2017,"men_less_than_hs",17.63
2017,"men_high_school",23.47
2017,"men_some_college",25.91
2017,"men_bachelors_degree",44.5
2017,"men_advanced_degree",56.77
2017,"women_less_than_hs",13.39
2017,"women_high_school",18.31
2017,"women_some_college",20.83
2017,"women_bachelors_degree",33.01
2017,"women_advanced_degree",42.75
2017,"white_less_than_hs",15.96
2017,"white_high_school",22.71
2017,"white_some_college",24.65
2017,"white_bachelors_degree",40.07
2017,"white_advanced_degree",50.03
2017,"black_less_than_hs",13.93
2017,"black_high_school",17.94
2017,"black_some_college",19.8
2017,"black_bachelors_degree",31.49
2017,"black_advanced_degree",40.68
2017,"hispanic_less_than_hs",16.34
2017,"hispanic_high_school",19.83
2017,"hispanic_some_college",21.59
2017,"hispanic_bachelors_degree",33.07
2017,"hispanic_advanced_degree",43.92
2017,"white_men_less_than_hs",17.82
2017,"white_men_high_school",25.14
2017,"white_men_some_college",27.61
2017,"white_men_bachelors_degree",46.44
2017,"white_men_advanced_degree",57.64
2017,"black_men_less_than_hs",15
2017,"black_men_high_school",19.46
2017,"black_men_some_college",21.09
2017,"black_men_bachelors_degree",34.41
2017,"black_men_advanced_degree",44.62
2017,"hispanic_men_less_than_hs",17.91
2017,"hispanic_men_high_school",21.68
2017,"hispanic_men_some_college",23.59
2017,"hispanic_men_bachelors_degree",36.62
2017,"hispanic_men_advanced_degree",50.58
2017,"white_women_less_than_hs",13.46
2017,"white_women_high_school",19.34
2017,"white_women_some_college",21.72
2017,"white_women_bachelors_degree",33.76
2017,"white_women_advanced_degree",43.22
2017,"black_women_less_than_hs",12.99
2017,"black_women_high_school",16.33
2017,"black_women_some_college",18.76
2017,"black_women_bachelors_degree",29.19
2017,"black_women_advanced_degree",38.26
2017,"hispanic_women_less_than_hs",13.36
2017,"hispanic_women_high_school",17.02
2017,"hispanic_women_some_college",19.6
2017,"hispanic_women_bachelors_degree",29.69
2017,"hispanic_women_advanced_degree",38.43
2016,"less_than_hs",15.45
2016,"high_school",21
2016,"some_college",23.35
2016,"bachelors_degree",38.73
2016,"advanced_degree",49.64
2016,"men_less_than_hs",16.95
2016,"men_high_school",23.01
2016,"men_some_college",25.98
2016,"men_bachelors_degree",44.98
2016,"men_advanced_degree",57.71
2016,"women_less_than_hs",13.11
2016,"women_high_school",18.33
2016,"women_some_college",20.89
2016,"women_bachelors_degree",32.66
2016,"women_advanced_degree",42.17
2016,"white_less_than_hs",15.38
2016,"white_high_school",22.37
2016,"white_some_college",24.61
2016,"white_bachelors_degree",39.95
2016,"white_advanced_degree",49.85
2016,"black_less_than_hs",13.48
2016,"black_high_school",17.95
2016,"black_some_college",20.28
2016,"black_bachelors_degree",32.1
2016,"black_advanced_degree",41.26
2016,"hispanic_less_than_hs",16.02
2016,"hispanic_high_school",19.47
2016,"hispanic_some_college",21.33
2016,"hispanic_bachelors_degree",34.28
2016,"hispanic_advanced_degree",43.92
2016,"white_men_less_than_hs",16.96
2016,"white_men_high_school",24.73
2016,"white_men_some_college",27.49
2016,"white_men_bachelors_degree",46.78
2016,"white_men_advanced_degree",58.13
2016,"black_men_less_than_hs",14.64
2016,"black_men_high_school",19.07
2016,"black_men_some_college",22.15
2016,"black_men_bachelors_degree",35.36
2016,"black_men_advanced_degree",45.54
2016,"hispanic_men_less_than_hs",17.37
2016,"hispanic_men_high_school",21.05
2016,"hispanic_men_some_college",23.43
2016,"hispanic_men_bachelors_degree",38.94
2016,"hispanic_men_advanced_degree",50.81
2016,"white_women_less_than_hs",12.98
2016,"white_women_high_school",19.21
2016,"white_women_some_college",21.83
2016,"white_women_bachelors_degree",33.23
2016,"white_women_advanced_degree",42.24
2016,"black_women_less_than_hs",12.42
2016,"black_women_high_school",16.71
2016,"black_women_some_college",18.88
2016,"black_women_bachelors_degree",29.56
2016,"black_women_advanced_degree",38.55
2016,"hispanic_women_less_than_hs",13.4
2016,"hispanic_women_high_school",17.11
2016,"hispanic_women_some_college",19.26
2016,"hispanic_women_bachelors_degree",29.41
2016,"hispanic_women_advanced_degree",37.77
2015,"less_than_hs",15.25
2015,"high_school",20.81
2015,"some_college",23.17
2015,"bachelors_degree",37.96
2015,"advanced_degree",48.42
2015,"men_less_than_hs",16.63
2015,"men_high_school",22.93
2015,"men_some_college",25.99
2015,"men_bachelors_degree",43.47
2015,"men_advanced_degree",56.32
2015,"women_less_than_hs",13.09
2015,"women_high_school",18.05
2015,"women_some_college",20.54
2015,"women_bachelors_degree",32.54
2015,"women_advanced_degree",41.16
2015,"white_less_than_hs",15.34
2015,"white_high_school",22.12
2015,"white_some_college",24.52
2015,"white_bachelors_degree",39.19
2015,"white_advanced_degree",49
2015,"black_less_than_hs",13.64
2015,"black_high_school",17.62
2015,"black_some_college",19.59
2015,"black_bachelors_degree",32.06
2015,"black_advanced_degree",41.13
2015,"hispanic_less_than_hs",15.46
2015,"hispanic_high_school",19.31
2015,"hispanic_some_college",21
2015,"hispanic_bachelors_degree",33.16
2015,"hispanic_advanced_degree",42.02
2015,"white_men_less_than_hs",17.16
2015,"white_men_high_school",24.56
2015,"white_men_some_college",27.64
2015,"white_men_bachelors_degree",45.39
2015,"white_men_advanced_degree",57.37
2015,"black_men_less_than_hs",14.55
2015,"black_men_high_school",18.93
2015,"black_men_some_college",21.08
2015,"black_men_bachelors_degree",34.19
2015,"black_men_advanced_degree",47.54
2015,"hispanic_men_less_than_hs",16.52
2015,"hispanic_men_high_school",20.92
2015,"hispanic_men_some_college",23.32
2015,"hispanic_men_bachelors_degree",36.63
2015,"hispanic_men_advanced_degree",48.49
2015,"white_women_less_than_hs",12.68
2015,"white_women_high_school",18.9
2015,"white_women_some_college",21.49
2015,"white_women_bachelors_degree",32.88
2015,"white_women_advanced_degree",41.41
2015,"black_women_less_than_hs",12.79
2015,"black_women_high_school",16.21
2015,"black_women_some_college",18.5
2015,"black_women_bachelors_degree",30.42
2015,"black_women_advanced_degree",37.37
2015,"hispanic_women_less_than_hs",13.42
2015,"hispanic_women_high_school",16.99
2015,"hispanic_women_some_college",18.66
2015,"hispanic_women_bachelors_degree",29.71
2015,"hispanic_women_advanced_degree",36.37
2014,"less_than_hs",14.66
2014,"high_school",20.34
2014,"some_college",22.48
2014,"bachelors_degree",36.47
2014,"advanced_degree",47.27
2014,"men_less_than_hs",15.95
2014,"men_high_school",22.4
2014,"men_some_college",24.96
2014,"men_bachelors_degree",41.14
2014,"men_advanced_degree",54.63
2014,"women_less_than_hs",12.6
2014,"women_high_school",17.72
2014,"women_some_college",20.14
2014,"women_bachelors_degree",31.98
2014,"women_advanced_degree",40.34
2014,"white_less_than_hs",14.92
2014,"white_high_school",21.65
2014,"white_some_college",23.7
2014,"white_bachelors_degree",37.61
2014,"white_advanced_degree",47.46
2014,"black_less_than_hs",13.43
2014,"black_high_school",17.61
2014,"black_some_college",19.4
2014,"black_bachelors_degree",30.82
2014,"black_advanced_degree",40.07
2014,"hispanic_less_than_hs",14.77
2014,"hispanic_high_school",18.43
2014,"hispanic_some_college",20.21
2014,"hispanic_bachelors_degree",31.8
2014,"hispanic_advanced_degree",44.35
2014,"white_men_less_than_hs",16.65
2014,"white_men_high_school",24.08
2014,"white_men_some_college",26.5
2014,"white_men_bachelors_degree",42.79
2014,"white_men_advanced_degree",55.03
2014,"black_men_less_than_hs",14.28
2014,"black_men_high_school",19.08
2014,"black_men_some_college",20.77
2014,"black_men_bachelors_degree",31.67
2014,"black_men_advanced_degree",43.76
2014,"hispanic_men_less_than_hs",15.85
2014,"hispanic_men_high_school",19.7
2014,"hispanic_men_some_college",22.17
2014,"hispanic_men_bachelors_degree",35.17
2014,"hispanic_men_advanced_degree",52.55
2014,"white_women_less_than_hs",12.54
2014,"white_women_high_school",18.51
2014,"white_women_some_college",20.99
2014,"white_women_bachelors_degree",32.46
2014,"white_women_advanced_degree",40.41
2014,"black_women_less_than_hs",12.47
2014,"black_women_high_school",16.09
2014,"black_women_some_college",18.39
2014,"black_women_bachelors_degree",30.2
2014,"black_women_advanced_degree",37.88
2014,"hispanic_women_less_than_hs",12.61
2014,"hispanic_women_high_school",16.55
2014,"hispanic_women_some_college",18.22
2014,"hispanic_women_bachelors_degree",28.53
2014,"hispanic_women_advanced_degree",37.16
2013,"less_than_hs",14.62
2013,"high_school",20.31
2013,"some_college",22.5
2013,"bachelors_degree",37
2013,"advanced_degree",48.54
2013,"men_less_than_hs",15.86
2013,"men_high_school",22.28
2013,"men_some_college",25.07
2013,"men_bachelors_degree",42.34
2013,"men_advanced_degree",56.35
2013,"women_less_than_hs",12.62
2013,"women_high_school",17.84
2013,"women_some_college",20.12
2013,"women_bachelors_degree",31.79
2013,"women_advanced_degree",41.03
2013,"white_less_than_hs",14.76
2013,"white_high_school",21.54
2013,"white_some_college",23.69
2013,"white_bachelors_degree",38.17
2013,"white_advanced_degree",49.14
2013,"black_less_than_hs",13.4
2013,"black_high_school",17.66
2013,"black_some_college",19.38
2013,"black_bachelors_degree",31.11
2013,"black_advanced_degree",41.6
2013,"hispanic_less_than_hs",14.83
2013,"hispanic_high_school",18.39
2013,"hispanic_some_college",20.21
2013,"hispanic_bachelors_degree",32.14
2013,"hispanic_advanced_degree",44.03
2013,"white_men_less_than_hs",16.37
2013,"white_men_high_school",23.84
2013,"white_men_some_college",26.66
2013,"white_men_bachelors_degree",43.94
2013,"white_men_advanced_degree",57.4
2013,"black_men_less_than_hs",14.39
2013,"black_men_high_school",18.7
2013,"black_men_some_college",20.78
2013,"black_men_bachelors_degree",33.18
2013,"black_men_advanced_degree",46.74
2013,"hispanic_men_less_than_hs",15.8
2013,"hispanic_men_high_school",19.86
2013,"hispanic_men_some_college",21.76
2013,"hispanic_men_bachelors_degree",36.3
2013,"hispanic_men_advanced_degree",51.37
2013,"white_women_less_than_hs",12.47
2013,"white_women_high_school",18.62
2013,"white_women_some_college",20.86
2013,"white_women_bachelors_degree",32.33
2013,"white_women_advanced_degree",41.24
2013,"black_women_less_than_hs",12.41
2013,"black_women_high_school",16.6
2013,"black_women_some_college",18.32
2013,"black_women_bachelors_degree",29.57
2013,"black_women_advanced_degree",38.4
2013,"hispanic_women_less_than_hs",12.8
2013,"hispanic_women_high_school",16.23
2013,"hispanic_women_some_college",18.7
2013,"hispanic_women_bachelors_degree",28.2
2013,"hispanic_women_advanced_degree",36.92
2012,"less_than_hs",14.8
2012,"high_school",20.5
2012,"some_college",22.56
2012,"bachelors_degree",36.76
2012,"advanced_degree",48.47
2012,"men_less_than_hs",16.15
2012,"men_high_school",22.65
2012,"men_some_college",25.05
2012,"men_bachelors_degree",42.25
2012,"men_advanced_degree",56.26
2012,"women_less_than_hs",12.72
2012,"women_high_school",17.82
2012,"women_some_college",20.26
2012,"women_bachelors_degree",31.45
2012,"women_advanced_degree",40.83
2012,"white_less_than_hs",15.28
2012,"white_high_school",21.77
2012,"white_some_college",23.63
2012,"white_bachelors_degree",37.85
2012,"white_advanced_degree",49.43
2012,"black_less_than_hs",13.12
2012,"black_high_school",17.92
2012,"black_some_college",19.77
2012,"black_bachelors_degree",31.08
2012,"black_advanced_degree",40.89
2012,"hispanic_less_than_hs",14.79
2012,"hispanic_high_school",18.37
2012,"hispanic_some_college",20.55
2012,"hispanic_bachelors_degree",31.28
2012,"hispanic_advanced_degree",43.47
2012,"white_men_less_than_hs",16.96
2012,"white_men_high_school",24.26
2012,"white_men_some_college",26.43
2012,"white_men_bachelors_degree",43.72
2012,"white_men_advanced_degree",57.8
2012,"black_men_less_than_hs",14.12
2012,"black_men_high_school",19.28
2012,"black_men_some_college",21.24
2012,"black_men_bachelors_degree",33.5
2012,"black_men_advanced_degree",46.59
2012,"hispanic_men_less_than_hs",15.91
2012,"hispanic_men_high_school",19.76
2012,"hispanic_men_some_college",22.35
2012,"hispanic_men_bachelors_degree",35.33
2012,"hispanic_men_advanced_degree",48.5
2012,"white_women_less_than_hs",12.95
2012,"white_women_high_school",18.59
2012,"white_women_some_college",20.96
2012,"white_women_bachelors_degree",31.96
2012,"white_women_advanced_degree",41.14
2012,"black_women_less_than_hs",12.2
2012,"black_women_high_school",16.52
2012,"black_women_some_college",18.66
2012,"black_women_bachelors_degree",29.43
2012,"black_women_advanced_degree",37.46
2012,"hispanic_women_less_than_hs",12.61
2012,"hispanic_women_high_school",16.41
2012,"hispanic_women_some_college",18.78
2012,"hispanic_women_bachelors_degree",27.58
2012,"hispanic_women_advanced_degree",38.91
2011,"less_than_hs",14.96
2011,"high_school",20.67
2011,"some_college",22.9
2011,"bachelors_degree",36.44
2011,"advanced_degree",47.56
2011,"men_less_than_hs",16.16
2011,"men_high_school",22.81
2011,"men_some_college",25.34
2011,"men_bachelors_degree",41.41
2011,"men_advanced_degree",54.15
2011,"women_less_than_hs",13.07
2011,"women_high_school",18.01
2011,"women_some_college",20.64
2011,"women_bachelors_degree",31.63
2011,"women_advanced_degree",41.18
2011,"white_less_than_hs",15.18
2011,"white_high_school",21.89
2011,"white_some_college",23.83
2011,"white_bachelors_degree",37.43
2011,"white_advanced_degree",48.29
2011,"black_less_than_hs",14.04
2011,"black_high_school",17.84
2011,"black_some_college",19.84
2011,"black_bachelors_degree",31.86
2011,"black_advanced_degree",40.1
2011,"hispanic_less_than_hs",14.96
2011,"hispanic_high_school",18.55
2011,"hispanic_some_college",21.17
2011,"hispanic_bachelors_degree",31.41
2011,"hispanic_advanced_degree",43.99
2011,"white_men_less_than_hs",16.91
2011,"white_men_high_school",24.43
2011,"white_men_some_college",26.56
2011,"white_men_bachelors_degree",42.79
2011,"white_men_advanced_degree",55.19
2011,"black_men_less_than_hs",14.66
2011,"black_men_high_school",19.07
2011,"black_men_some_college",21.31
2011,"black_men_bachelors_degree",33.82
2011,"black_men_advanced_degree",43.52
2011,"hispanic_men_less_than_hs",15.87
2011,"hispanic_men_high_school",19.9
2011,"hispanic_men_some_college",22.8
2011,"hispanic_men_bachelors_degree",34.57
2011,"hispanic_men_advanced_degree",48.76
2011,"white_women_less_than_hs",12.91
2011,"white_women_high_school",18.76
2011,"white_women_some_college",21.26
2011,"white_women_bachelors_degree",32.08
2011,"white_women_advanced_degree",41.6
2011,"black_women_less_than_hs",13.4
2011,"black_women_high_school",16.56
2011,"black_women_some_college",18.8
2011,"black_women_bachelors_degree",30.49
2011,"black_women_advanced_degree",38.01
2011,"hispanic_women_less_than_hs",13.06
2011,"hispanic_women_high_school",16.56
2011,"hispanic_women_some_college",19.44
2011,"hispanic_women_bachelors_degree",28.19
2011,"hispanic_women_advanced_degree",39.59
2010,"less_than_hs",15.04
2010,"high_school",21.06
2010,"some_college",23.56
2010,"bachelors_degree",37.42
2010,"advanced_degree",48.8
2010,"men_less_than_hs",16.32
2010,"men_high_school",23.28
2010,"men_some_college",26.24
2010,"men_bachelors_degree",42.71
2010,"men_advanced_degree",55.87
2010,"women_less_than_hs",13.08
2010,"women_high_school",18.43
2010,"women_some_college",21.16
2010,"women_bachelors_degree",32.33
2010,"women_advanced_degree",41.73
2010,"white_less_than_hs",15.2
2010,"white_high_school",22.11
2010,"white_some_college",24.46
2010,"white_bachelors_degree",38.62
2010,"white_advanced_degree",49.58
2010,"black_less_than_hs",14.4
2010,"black_high_school",18.45
2010,"black_some_college",20.88
2010,"black_bachelors_degree",31.64
2010,"black_advanced_degree",39.3
2010,"hispanic_less_than_hs",15
2010,"hispanic_high_school",19.27
2010,"hispanic_some_college",21.53
2010,"hispanic_bachelors_degree",32.84
2010,"hispanic_advanced_degree",47.29
2010,"white_men_less_than_hs",17
2010,"white_men_high_school",24.74
2010,"white_men_some_college",27.46
2010,"white_men_bachelors_degree",44.36
2010,"white_men_advanced_degree",57.29
2010,"black_men_less_than_hs",15.19
2010,"black_men_high_school",19.61
2010,"black_men_some_college",22.62
2010,"black_men_bachelors_degree",33.28
2010,"black_men_advanced_degree",41.67
2010,"hispanic_men_less_than_hs",16.02
2010,"hispanic_men_high_school",20.87
2010,"hispanic_men_some_college",23.43
2010,"hispanic_men_bachelors_degree",37.49
2010,"hispanic_men_advanced_degree",52.64
2010,"white_women_less_than_hs",12.86
2010,"white_women_high_school",19.02
2010,"white_women_some_college",21.73
2010,"white_women_bachelors_degree",32.91
2010,"white_women_advanced_degree",41.96
2010,"black_women_less_than_hs",13.63
2010,"black_women_high_school",17.33
2010,"black_women_some_college",19.61
2010,"black_women_bachelors_degree",30.53
2010,"black_women_advanced_degree",37.74
2010,"hispanic_women_less_than_hs",12.89
2010,"hispanic_women_high_school",16.85
2010,"hispanic_women_some_college",19.65
2010,"hispanic_women_bachelors_degree",28.39
2010,"hispanic_women_advanced_degree",41.27
2009,"less_than_hs",15.41
2009,"high_school",21.42
2009,"some_college",23.82
2009,"bachelors_degree",37.3
2009,"advanced_degree",49.12
2009,"men_less_than_hs",16.91
2009,"men_high_school",23.74
2009,"men_some_college",26.75
2009,"men_bachelors_degree",43.04
2009,"men_advanced_degree",56.35
2009,"women_less_than_hs",13.14
2009,"women_high_school",18.7
2009,"women_some_college",21.22
2009,"women_bachelors_degree",31.84
2009,"women_advanced_degree",41.8
2009,"white_less_than_hs",15.62
2009,"white_high_school",22.51
2009,"white_some_college",24.73
